#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       2.348239938056e-04       9.879487955009e+01       2.663263217736e+00      -4.770542685266e-02      -1.764554728383e-03      -4.517035577402e-03      -9.286032336768e-06      -9.034397383138e-04       1.997330728882e+00      -4.780993004298e-02       5.051994428938e-02       4.915067861583e-02      -4.458605634721e-01      -6.094866942844e-03      -9.524199511523e-02      -1.098458883768e+01       9.027784990348e-02       3.929022023007e-02       2.845256705036e-02       5.171719631241e-04       2.101930215755e-01      -2.047025636251e-03 
       2.349701692942e-04       9.884594044713e+01       2.666372053024e+00      -4.739088856080e-02      -1.755537228381e-03      -4.495752119948e-03      -9.255437064846e-06      -8.991829893202e-04       1.999667701231e+00      -4.749577789541e-02       5.047698376529e-02       4.911860323211e-02      -4.455745117251e-01      -6.077512316416e-03      -9.459639585489e-02      -1.098929395601e+01       9.024746477754e-02       3.931659796851e-02       2.847615257306e-02       5.160156412512e-04       2.104414805595e-01      -2.026673649039e-03 
       2.351165617813e-04       9.889706493371e+01       2.669464267439e+00      -4.707571670740e-02      -1.746460814693e-03      -4.474226578902e-03      -9.224151031774e-06      -8.948778194039e-04       2.001992234338e+00      -4.718099273537e-02       5.043426295922e-02       4.908673037794e-02      -4.452883068283e-01      -6.060451182662e-03      -9.395191588652e-02      -1.099400265259e+01       9.021706041769e-02       3.934294943099e-02       2.849973757212e-02       5.148589490618e-04       2.106899825809e-01      -2.006255053001e-03 
       2.352631717936e-04       9.894825314389e+01       2.672539773621e+00      -4.675991172050e-02      -1.737326998140e-03      -4.452476492921e-03      -9.192225209743e-06      -8.905277369613e-04       2.004304262775e+00      -4.686557498819e-02       5.039178223939e-02       4.905506027130e-02      -4.450019297142e-01      -6.043683561825e-03      -9.330856750853e-02      -1.099871493402e+01       9.018663691445e-02       3.936927452089e-02       2.852332203754e-02       5.137019049531e-04       2.109385260841e-01      -1.985770023225e-03 
       2.354099998595e-04       9.899950521214e+01       2.675598483934e+00      -4.644347403887e-02      -1.728137087590e-03      -4.430516859594e-03      -9.159702727485e-06      -8.861357419751e-04       2.006603720906e+00      -4.654952508986e-02       5.034954196673e-02       4.902359312961e-02      -4.447153612474e-01      -6.027209464859e-03      -9.266636304360e-02      -1.100343080691e+01       9.015619435883e-02       3.939557314221e-02       2.854690595997e-02       5.125445274233e-04       2.111871095058e-01      -1.965218736552e-03 
       2.355570465093e-04       9.905082127333e+01       2.678640310463e+00      -4.612640411218e-02      -1.718892206647e-03      -4.408360508106e-03      -9.126620131766e-06      -8.817044006156e-04       2.008890542886e+00      -4.623284348721e-02       5.030754249543e-02       4.899232916971e-02      -4.444285822250e-01      -6.011028893366e-03      -9.202531483833e-02      -1.100815027791e+01       9.012573284232e-02       3.942184519956e-02       2.857048933074e-02       5.113868350712e-04       2.114357312751e-01      -1.944601371592e-03 
       2.357043122751e-04       9.910220146273e+01       2.681665165012e+00      -4.580870240114e-02      -1.709593312509e-03      -4.386018412559e-03      -9.093008415709e-06      -8.772359079479e-04       2.011164662661e+00      -4.591553063804e-02       5.026578417349e-02       4.896126860785e-02      -4.441415733772e-01      -5.995141839529e-03      -9.138543526301e-02      -1.101287335369e+01       9.009525245693e-02       3.944809059820e-02       2.859407214184e-02       5.102288465968e-04       2.116843898133e-01      -1.923918108733e-03 
       2.358517976904e-04       9.915364591605e+01       2.684672959109e+00      -4.549036937766e-02      -1.700241214915e-03      -4.363499957142e-03      -9.058893864768e-06      -8.727321409955e-04       2.013426013969e+00      -4.559758701128e-02       5.022426734334e-02       4.893041165972e-02      -4.438543153673e-01      -5.979548286051e-03      -9.074673671135e-02      -1.101760004096e+01       9.006475329516e-02       3.947430924405e-02       2.861765438596e-02       5.090705808009e-04       2.119330835340e-01      -1.903169130146e-03 
       2.359995032911e-04       9.920515476939e+01       2.687663604001e+00      -4.517140552501e-02      -1.690836594105e-03      -4.340813161658e-03      -9.024298758617e-06      -8.681947038612e-04       2.015674530335e+00      -4.527901308715e-02       5.018299234237e-02       4.889975854045e-02      -4.435667887923e-01      -5.964248206085e-03      -9.010923160018e-02      -1.102233034643e+01       9.003423545002e-02       3.950050104365e-02       2.864123605646e-02       5.079120565858e-04       2.121818108431e-01      -1.882354619803e-03 
       2.361474296142e-04       9.925672815926e+01       2.690637010655e+00      -4.485181133791e-02      -1.681380017286e-03      -4.317964873968e-03      -8.989241957878e-06      -8.636249662299e-04       2.017910145079e+00      -4.495980935725e-02       5.014195950344e-02       4.886930946456e-02      -4.432789741832e-01      -5.949241563171e-03      -8.947293236918e-02      -1.102706427687e+01       9.000369901499e-02       3.952666590423e-02       2.866481714740e-02       5.067532929545e-04       2.124305701387e-01      -1.861474763483e-03 
